"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
143674,143674,145502,146333,150984,149293,-0.01256,"Southeast","Pomona","CA","California","6037","Los Angeles County",6251,"california/pomona",22.984,-117.761,34.0585,"City",40
140279,140279,138869,137430,134638,116306,0.01015,"Southeast","Victorville","CA","California","6071","San Bernardino County",1903,"california/victorville",73.71,-117.354,34.5277,"City",41
137965,137965,138337,138003,139451,137009,-0.00269,"Southeast","Orange","CA","California","6059","Orange County",5375,"california/orange",25.667,-117.861,33.787,"City",42
137911,137911,139250,140390,143267,135251,-0.00962,"Southeast","Fullerton","CA","California","6059","Orange County",6151,"california/fullerton",22.42,-117.928,33.8857,"City",43
136818,136818,139224,140901,146442,145315,-0.01728,"Southeast","Torrance","CA","California","6037","Los Angeles County",6669,"california/torrance",20.516,-118.357,33.8305,"City",44
131926,131926,133560,134492,138462,137540,-0.01223,"Southeast","Pasadena","CA","California","6037","Los Angeles County",5746,"california/pasadena",22.96,-118.138,34.1606,"City",45
131886,131886,131062,128859,128588,116857,0.00629,"West","Santa Clara","CA","California","6085","Santa Clara County",7216,"california/santa-clara",18.277,-121.968,37.3646,"City",46
127511,127511,125826,124873,120770,96360,0.01339,"Central","Clovis","CA","California","6019","Fresno County",4932,"california/clovis",25.852,-119.685,36.829,"City",47
124703,124703,125113,124849,126343,124424,-0.00328,"Southeast","Simi Valley","CA","California","6111","Ventura County",3002,"california/simi-valley",41.542,-118.748,34.2669,"City",48
122342,122342,123463,124529,126824,126688,-0.00908,"Southeast","Thousand Oaks","CA","California","6111","Ventura County",2214,"california/thousand-oaks",55.257,-118.874,34.1933,"City",49
121778,121778,122807,123686,125894,116118,-0.00838,"Northwest","Vallejo","CA","California","6095","Solano County",4001,"california/vallejo",30.435,-122.262,38.1069,"City",50
121324,121324,122315,123112,125286,122440,-0.0081,"Northwest","Concord","CA","California","6013","Contra Costa County",3969,"california/concord",30.568,-122.002,37.9722,"City",51
121079,121079,120768,119957,119833,105652,0.00258,"Northwest","Fairfield","CA","California","6095","Solano County",2912,"california/fairfield",41.586,-122.032,38.2621,"City",52
117668,117668,117096,115780,115379,103062,0.00488,"Northwest","Antioch","CA","California","6013","Contra Costa County",4034,"california/antioch",29.171,-121.796,37.9783,"City",53
117214,117214,118962,118715,124205,112938,-0.01469,"Northwest","Berkeley","CA","California","6001","Alameda County",11236,"california/berkeley",10.432,-122.299,37.8657,"City",54
116834,116834,113433,110378,103228,78115,0.02998,"Southeast","Menifee","CA","California","6065","Riverside County",2515,"california/menifee",46.464,-117.184,33.6899,"City",55
115676,115676,116449,117222,120504,126496,-0.00664,"Southeast","East Los Angeles","CA","California","6037","Los Angeles County",15521,"california/east-los-angeles",7.453,-118.169,34.0315,"CDP",56
113409,113409,114106,114944,116196,103666,-0.00611,"Northwest","Richmond","CA","California","6013","Contra Costa County",3775,"california/richmond",30.042,-122.361,37.9523,"City",57
113018,113018,113495,114275,114924,105768,-0.0042,"Southeast","Carlsbad","CA","California","6073","San Diego County",2989,"california/carlsbad",37.812,-117.284,33.1293,"City",58
112122,112122,111878,112076,111146,104175,0.00218,"Southeast","Murrieta","CA","California","6065","Riverside County",3343,"california/murrieta",33.536,-117.19,33.5721,"City",59
110878,110878,110682,110860,110094,100598,0.00177,"Southeast","Temecula","CA","California","6065","Riverside County",2982,"california/temecula",37.177,-117.132,33.4931,"City",60
110055,110055,109987,110088,109782,99633,0.00062,"Southwest","Santa Maria","CA","California","6083","Santa Barbara County",4825,"california/santa-maria",22.81,-120.444,34.9331,"City",61
108537,108537,109058,108900,110620,107053,-0.00478,"South","San Buenaventura (Ventura)","CA","California","6111","Ventura County",4962,"california/san-buenaventura-ventura",21.873,-119.254,34.2678,"City",62
