"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
17829,17829,17542,17255,16200,13809,0.01636,"West","Stanford","CA","California","6085","Santa Clara County",6483,"california/stanford",2.75,-122.168,37.4269,"CDP",379
17810,17810,16538,15266,16405,0,0.07691,"Southeast","Vincent","CA","California","6037","Los Angeles County",12091,"california/vincent",1.473,-117.924,34.0983,"CDP",380
17798,17798,17753,17707,16508,17158,0.00253,"West","Live Oak","CA","California","6101","Sutter County",5488,"california/live-oak-santa-cruz-county",3.243,-121.98,36.986,"CDP",381
17637,17637,17238,16894,16039,13617,0.02315,"West","Kerman","CA","California","6019","Fresno County",5252,"california/kerman",3.358,-120.062,36.725,"City",382
17420,17420,17190,16690,16499,15017,0.01338,"Southeast","Fillmore","CA","California","6111","Ventura County",5274,"california/fillmore",3.303,-118.917,34.399,"City",383
17284,17284,17369,16911,17624,18334,-0.00489,"Southwest","Coalinga","CA","California","6019","Fresno County",2524,"california/coalinga",6.847,-120.339,36.1331,"City",384
17202,17202,17058,16913,16645,15177,0.00844,"Northwest","McKinleyville","CA","California","6023","Humboldt County",824,"california/mckinleyville",20.882,-124.077,40.9516,"CDP",385
17130,17130,17039,17075,16766,16167,0.00534,"Northwest","Truckee","CA","California","6057","Nevada County",530,"california/truckee",32.332,-120.194,39.3505,"Town",386
17095,17095,16973,16850,17532,15379,0.00719,"Southeast","Bostonia","CA","California","6073","San Diego County",8876,"california/bostonia",1.926,-116.942,32.819,"CDP",387
16844,16844,16720,16596,16115,15106,0.00742,"Northwest","Rio Linda","CA","California","6067","Sacramento County",1697,"california/rio-linda",9.927,-121.442,38.6875,"CDP",388
16791,16791,16998,17199,17617,15998,-0.01218,"Southeast","Laguna Woods","CA","California","6059","Orange County",5024,"california/laguna-woods",3.342,-117.73,33.6121,"City",389
16504,16504,16373,16242,16282,14670,0.008,"Northwest","Parkway","CA","California","6067","Sacramento County",6851,"california/parkway",2.409,-121.452,38.4993,"CDP",390
16436,16436,16547,16680,16880,16038,-0.00671,"Northwest","Moraga","CA","California","6013","Contra Costa County",1737,"california/moraga",9.461,-122.123,37.8457,"Town",391
16409,16409,16481,16589,16697,15273,-0.00437,"Northwest","Clearlake","CA","California","6033","Lake County",1620,"california/clearlake",10.129,-122.633,38.96,"City",392
16250,16250,16229,16209,15939,15966,0.00129,"Southeast","Walnut Park","CA","California","6037","Los Angeles County",21696,"california/walnut-park",0.749,-118.222,33.9682,"CDP",393
16190,16190,16051,15911,14958,14236,0.00866,"Southeast","Alpine","CA","California","6073","San Diego County",604,"california/alpine",26.786,-116.756,32.8425,"CDP",394
16188,16188,16445,16607,17216,16656,-0.01563,"Southeast","El Segundo","CA","California","6037","Los Angeles County",2971,"california/el-segundo",5.449,-118.425,33.9104,"City",395
16052,16052,16068,16176,16116,14439,-0.001,"Northwest","Ripon","CA","California","6077","San Joaquin County",3014,"california/ripon",5.325,-121.13,37.742,"City",396
15968,15968,15733,15497,14779,12669,0.01494,"Northwest","El Sobrante","CA","California","6013","Contra Costa County",5158,"california/el-sobrante-contra-costa-county",3.096,-122.303,37.9736,"CDP",397
15911,15911,16072,16295,16553,16019,-0.01002,"Northwest","Ukiah","CA","California","6045","Mendocino County",3338,"california/ukiah",4.767,-123.21,39.1466,"City",398
15760,15760,15696,15632,15509,14866,0.00408,"Southeast","Coto Caza","CA","California","6059","Orange County",2021,"california/coto-caza",7.798,-117.586,33.597,"CDP",399
15731,15731,15627,15523,16174,14276,0.00666,"Southwest","Los Osos","CA","California","6079","San Luis Obispo County",1233,"california/los-osos",12.763,-120.825,35.3071,"CDP",400
15697,15697,15530,15362,15904,13352,0.01075,"Northwest","Discovery Bay","CA","California","6013","Contra Costa County",2807,"california/discovery-bay",5.592,-121.597,37.9081,"CDP",401
15628,15628,15563,15499,15976,14728,0.00418,"West","Cherryland","CA","California","6001","Alameda County",13100,"california/cherryland",1.193,-122.104,37.6792,"CDP",402
15350,15350,15597,15772,16338,16523,-0.01584,"Southeast","Artesia","CA","California","6037","Los Angeles County",9475,"california/artesia",1.62,-118.081,33.8676,"City",403
15037,15037,14943,14849,15269,13722,0.00629,"Northwest","Salida","CA","California","6099","Stanislaus County",6783,"california/salida",2.217,-121.085,37.7091,"CDP",404
15006,15006,14915,14824,15104,13729,0.0061,"Northwest","Lemon Hill","CA","California","6067","Sacramento County",9150,"california/lemon-hill",1.64,-121.457,38.5172,"CDP",405
14889,14889,14906,14924,15252,15135,-0.00114,"Southeast","East Rancho Dominguez","CA","California","6037","Los Angeles County",18135,"california/east-rancho-dominguez",0.821,-118.196,33.8948,"CDP",406
14852,14852,15029,15203,15560,15544,-0.01178,"Southeast","La Palma","CA","California","6059","Orange County",8339,"california/la-palma",1.781,-118.04,33.8506,"City",407
14782,14782,14643,14718,14225,13105,0.00949,"West","Livingston","CA","California","6047","Merced County",4022,"california/livingston",3.675,-120.725,37.3873,"City",408
14647,14647,14757,14866,15087,15073,-0.00745,"Southwest","Pacific Grove","CA","California","6053","Monterey County",5111,"california/pacific-grove",2.866,-121.926,36.6226,"City",409
14633,14633,14518,14403,14446,13022,0.00792,"Northwest","North Auburn","CA","California","6057","Nevada County",1879,"california/north-auburn",7.788,-121.081,38.9307,"CDP",410
14489,14489,14213,13936,16618,10616,0.01942,"Southeast","Camp Pendleton South","CA","California","6073","San Diego County",2089,"california/camp-pendleton-south",6.937,-117.392,33.2318,"CDP",411
14377,14377,14426,14507,14573,14594,-0.0034,"South","Parlier","CA","California","6019","Fresno County",5749,"california/parlier",2.501,-119.544,36.609,"City",412
14328,14328,14413,14519,14667,14071,-0.0059,"Northwest","Red Bluff","CA","California","6103","Tehama County",1895,"california/red-bluff",7.561,-122.242,40.1735,"City",413
14319,14319,14337,14355,13864,14570,-0.00126,"Northwest","Alamo","CA","California","6013","Contra Costa County",1459,"california/alamo",9.816,-122.014,37.8548,"CDP",414
14281,14281,14075,13252,13456,15264,0.01464,"Southwest","Avenal","CA","California","6031","Kings County",733,"california/avenal",19.483,-120.116,36.0311,"City",415
14105,14105,13917,13503,13352,12900,0.01351,"Southwest","King City","CA","California","6053","Monterey County",3715,"california/king-city",3.797,-121.132,36.2163,"City",416
14069,14069,14074,14138,14087,12876,-0.00036,"Northwest","Grass Valley","CA","California","6057","Nevada County",2346,"california/grass-valley",5.996,-121.053,39.2203,"City",417
14007,14007,14049,14149,14173,12707,-0.00299,"South","McFarland","CA","California","6029","Kern County",2209,"california/mcfarland",6.341,-119.231,35.6673,"City",418
13655,13655,13792,13928,14201,13934,-0.00993,"Northwest","Mill Valley","CA","California","6041","Marin County",2855,"california/mill-valley",4.782,-122.542,37.9081,"City",419
13629,13629,13551,13473,12470,12538,0.00576,"Southeast","Bonita","CA","California","6073","San Diego County",2717,"california/bonita",5.017,-117.006,32.6732,"CDP",420
13617,13617,13658,13744,13780,13349,-0.003,"Northwest","Auburn","CA","California","6061","Placer County",1897,"california/auburn",7.177,-121.077,38.8951,"City",421
13596,13596,13612,13627,13987,13811,-0.00118,"Southeast","Oak Park","CA","California","6111","Ventura County",2568,"california/oak-park",5.295,-118.767,34.185,"CDP",422
13556,13556,13637,13718,14992,14687,-0.00594,"West","North Fair Oaks","CA","California","6081","San Mateo County",11334,"california/north-fair-oaks",1.196,-122.203,37.4754,"CDP",423
13481,13481,13598,13715,14724,15120,-0.0086,"Southeast","Lamont","CA","California","6029","Kern County",2810,"california/lamont",4.797,-118.916,35.2651,"CDP",424
13379,13379,13802,15180,15070,13463,-0.03065,"Southeast","California City","CA","California","6029","Kern County",66,"california/california-city",203.629,-117.869,35.1466,"City",425
13348,13348,12394,11441,11671,0,0.07697,"South","University California-Santa Barbara","CA","California","6083","Santa Barbara County",10268,"california/university-california-santa-barbara",1.3,-119.847,34.4178,"CDP",426
13326,13326,14024,14722,15733,23096,-0.04977,"South","Isla Vista","CA","California","6083","Santa Barbara County",24185,"california/isla-vista",0.551,-119.861,34.4122,"CDP",427
13225,13225,13161,13097,11926,12328,0.00486,"Southeast","Lake Los Angeles","CA","California","6037","Los Angeles County",1358,"california/lake-los-angeles",9.741,-117.83,34.6098,"CDP",428
13211,13211,13013,12677,12419,11475,0.01522,"South","Kingsburg","CA","California","6019","Fresno County",3548,"california/kingsburg",3.724,-119.567,36.5252,"City",429
13164,13164,13396,13563,14092,14271,-0.01732,"Southeast","Hawaiian Gardens","CA","California","6037","Los Angeles County",13930,"california/hawaiian-gardens",0.945,-118.073,33.8305,"City",430
13146,13146,13308,13470,13836,15411,-0.01217,"Southeast","Avocado Heights","CA","California","6037","Los Angeles County",5840,"california/avocado-heights",2.251,-117.998,34.039,"CDP",431
12867,12867,12939,13039,13155,12060,-0.00556,"Southeast","Grand Terrace","CA","California","6071","San Bernardino County",3652,"california/grand-terrace",3.523,-117.313,34.0311,"City",432
12828,12828,12790,12753,12621,12304,0.00297,"Southeast","Big Bear City","CA","California","6071","San Bernardino County",401,"california/big-bear-city",32.015,-116.796,34.2541,"CDP",433
12689,12689,12828,12977,13244,12996,-0.01084,"South","Carpinteria","CA","California","6083","Santa Barbara County",4903,"california/carpinteria",2.588,-119.501,34.3852,"City",434
12670,12670,12732,12632,12918,10110,-0.00487,"Northwest","Emeryville","CA","California","6001","Alameda County",9953,"california/emeryville",1.273,-122.302,37.8385,"City",435
12615,12615,12674,12631,12851,12072,-0.00466,"Northwest","Marysville","CA","California","6115","Yuba County",3642,"california/marysville",3.464,-121.583,39.1515,"City",436
12591,12591,12675,12721,12927,12894,-0.00663,"Southeast","Solana Beach","CA","California","6073","San Diego County",3688,"california/solana-beach",3.414,-117.258,32.9913,"City",437
12546,12546,11650,10754,10254,0,0.07691,"Southeast","East Bakersfield","CA","California","6029","Kern County",15942,"california/east-bakersfield",0.787,-118.974,35.3832,"CDP",438
12510,12510,12530,12546,12588,11311,-0.0016,"West","Mendota","CA","California","6019","Fresno County",3687,"california/mendota",3.393,-120.38,36.7576,"City",439
12495,12495,12547,12644,12701,13175,-0.00414,"Southwest","Grover Beach","CA","California","6079","San Luis Obispo County",5404,"california/grover-beach",2.312,-120.62,35.1209,"City",440
12480,12480,11588,10697,10833,0,0.07698,"Southeast","Potomac Park","CA","California","6029","Kern County",8752,"california/potomac-park",1.426,-118.965,35.3635,"CDP",441
12480,12480,11588,10697,7816,0,0.07698,"Southeast","Rancho Mission Viejo","CA","California","6059","Orange County",330,"california/rancho-mission-viejo",37.808,-117.562,33.514,"CDP",442
12448,12448,12496,12551,12638,11859,-0.00384,"South","Lindsay","CA","California","6107","Tulare County",4273,"california/lindsay",2.913,-119.093,36.2091,"City",443
12442,12442,12589,12739,13029,11926,-0.01168,"Northwest","Larkspur","CA","California","6041","Marin County",4149,"california/larkspur",2.999,-122.53,37.9405,"City",444
12440,12440,12318,12196,12331,10735,0.0099,"Northwest","Tamalpais-Homestead Valley","CA","California","6041","Marin County",2655,"california/tamalpais-homestead-valley",4.685,-122.538,37.8791,"CDP",445
12424,12424,12646,12799,13311,13432,-0.01755,"Southeast","Palos Verdes Estates","CA","California","6037","Los Angeles County",2601,"california/palos-verdes-estates",4.776,-118.426,33.7743,"City",446
12396,12396,12337,12278,12027,11570,0.00478,"Southeast","Home Gardens","CA","California","6065","Riverside County",8097,"california/home-gardens",1.531,-117.512,33.8783,"CDP",447
12394,12394,12498,12594,12808,12322,-0.00832,"Northwest","San Anselmo","CA","California","6041","Marin County",4633,"california/san-anselmo",2.675,-122.57,37.9821,"Town",448
12390,12390,12294,12197,11332,11037,0.00781,"Northwest","Diamond Springs","CA","California","6017","El Dorado County",745,"california/diamond-springs",16.64,-120.839,38.692,"CDP",449
12244,12244,11370,10495,11801,0,0.07687,"Southeast","Hillcrest","CA","California","6029","Kern County",8885,"california/hillcrest",1.378,-118.958,35.379,"CDP",450
12215,12215,12100,11986,11619,10613,0.0095,"West","Winton","CA","California","6047","Merced County",4017,"california/winton",3.041,-120.617,37.3854,"CDP",451
12214,12214,12285,12390,12496,12030,-0.00578,"Northwest","Fortuna","CA","California","6023","Humboldt County",2326,"california/fortuna",5.252,-124.142,40.5871,"City",452
12153,12153,12076,11999,11621,11075,0.00638,"Southeast","View Park-Windsor Hills","CA","California","6037","Los Angeles County",6601,"california/view-park-windsor-hills",1.841,-118.348,33.9945,"CDP",453
12145,12145,12207,12261,12391,10351,-0.00508,"West","Newman","CA","California","6099","Stanislaus County",5665,"california/newman",2.144,-121.021,37.3161,"City",454
12028,12028,12077,12127,13096,12723,-0.00406,"Southeast","El Sobrante","CA","California","6013","Contra Costa County",1663,"california/el-sobrante-riverside-county",7.233,-117.463,33.8725,"CDP",455
11995,11995,11898,11802,11546,10644,0.00815,"Southeast","Muscoy","CA","California","6071","San Bernardino County",3944,"california/muscoy",3.041,-117.348,34.1552,"CDP",456
11992,11992,11867,11742,11923,10244,0.01053,"Southeast","Rossmoor","CA","California","6059","Orange County",7692,"california/rossmoor",1.559,-118.08,33.7887,"CDP",457
11956,11956,11102,10248,10182,0,0.07692,"Southeast","East Whittier","CA","California","6037","Los Angeles County",10969,"california/east-whittier",1.09,-117.989,33.9244,"CDP",458
11944,11944,11901,11751,11770,11357,0.00361,"Southeast","Los Alamitos","CA","California","6059","Orange County",2980,"california/los-alamitos",4.008,-118.061,33.7969,"City",459
11811,11811,11977,12088,12474,13102,-0.01386,"Southeast","San Marino","CA","California","6037","Los Angeles County",3136,"california/san-marino",3.766,-118.113,34.1227,"City",460
11794,11794,11723,11652,11570,10802,0.00606,"Northwest","La Riviera","CA","California","6067","Sacramento County",6207,"california/la-riviera",1.9,-121.355,38.5685,"CDP",461
11762,11762,11879,12020,12228,11578,-0.00985,"West","Scotts Valley","CA","California","6087","Santa Cruz County",2547,"california/scotts-valley",4.618,-122.012,37.0555,"City",462
11480,11480,11165,11113,10220,7844,0.02821,"Southeast","Calimesa","CA","California","6065","Riverside County",771,"california/calimesa",14.893,-117.054,33.9874,"City",463
11456,11456,11672,11831,12318,12833,-0.01851,"Southeast","Commerce","CA","California","6037","Los Angeles County",1753,"california/commerce",6.534,-118.15,33.9945,"City",464
11456,11456,11464,11472,14080,11565,-0.0007,"Southeast","Sun Village","CA","California","6037","Los Angeles County",1060,"california/sun-village",10.804,-117.957,34.5595,"CDP",465
11443,11443,12689,13762,16426,17707,-0.0982,"Northwest","Susanville","CA","California","6035","Lassen County",1445,"california/susanville",7.918,-120.628,40.4337,"City",466
11214,11214,11522,11831,11798,15536,-0.02673,"West","Alum Rock","CA","California","6085","Santa Clara County",12904,"california/alum-rock",0.869,-121.824,37.3694,"CDP",467
11204,11204,11067,10929,11320,9277,0.01238,"Southeast","Valley Center","CA","California","6073","San Diego County",408,"california/valley-center",27.445,-117.016,33.233,"CDP",468
11199,11199,10399,9599,7424,0,0.07693,"Southeast","Camp Pendleton Mainside","CA","California","6073","San Diego County",1042,"california/camp-pendleton-mainside",10.747,-117.331,33.3072,"CDP",469
11170,11170,11210,11272,11330,9978,-0.00357,"Northwest","Anderson","CA","California","6089","Shasta County",1589,"california/anderson",7.031,-122.295,40.4498,"City",470
11100,11100,11096,11111,11084,10591,0.00036,"Southeast","Canyon Lake","CA","California","6065","Riverside County",2855,"california/canyon-lake",3.888,-117.264,33.6883,"City",471
11067,11067,11137,11171,11346,11319,-0.00629,"Northwest","Healdsburg","CA","California","6097","Sonoma County",2504,"california/healdsburg",4.42,-122.865,38.6225,"City",472
11061,11061,11249,11379,11811,11024,-0.01671,"Southeast","Signal Hill","CA","California","6037","Los Angeles County",5053,"california/signal-hill",2.189,-118.17,33.8035,"City",473
10998,10998,10988,10979,10105,10866,0.00091,"Southeast","Citrus","CA","California","6037","Los Angeles County",12555,"california/citrus",0.876,-117.891,34.1134,"CDP",474
10920,10920,10908,10896,11837,10755,0.0011,"West","Delhi","CA","California","6047","Merced County",3111,"california/delhi",3.51,-120.776,37.4306,"CDP",475
10883,10883,11105,11181,11771,11369,-0.01999,"West","Half Moon Bay","CA","California","6081","San Mateo County",1744,"california/half-moon-bay",6.242,-122.44,37.4673,"City",476
10882,10882,10819,10756,10424,10001,0.00582,"Southeast","Del Aire","CA","California","6037","Los Angeles County",10796,"california/del-aire",1.008,-118.369,33.9167,"CDP",477
10833,10833,10728,10622,10590,9354,0.00979,"Northwest","Blackhawk","CA","California","6013","Contra Costa County",1876,"california/blackhawk",5.775,-121.913,37.8096,"CDP",478
10723,10723,10883,10896,11363,10803,-0.0147,"West","Hillsborough","CA","California","6081","San Mateo County",1739,"california/hillsborough",6.166,-122.359,37.5572,"Town",479
10680,10680,10631,10583,10834,10003,0.00461,"West","Fairview","CA","California","6001","Alameda County",3591,"california/fairview",2.974,-122.044,37.6777,"CDP",480
10652,10652,10754,10847,11058,10941,-0.00948,"Northwest","Clayton","CA","California","6013","Contra Costa County",2774,"california/clayton",3.84,-121.93,37.9403,"City",481
10648,10648,10577,10505,10721,9644,0.00671,"West","Soquel","CA","California","6087","Santa Cruz County",2316,"california/soquel",4.597,-121.948,36.9978,"CDP",482
10631,10631,10656,10683,10729,10470,-0.00235,"Northwest","Placerville","CA","California","6017","El Dorado County",1820,"california/placerville",5.84,-120.798,38.7311,"City",483
10582,10582,10619,10701,10729,10666,-0.00348,"Northwest","Sonoma","CA","California","6097","Sonoma County",3856,"california/sonoma",2.744,-122.46,38.2903,"City",484
10538,10538,10713,10833,11236,10916,-0.01634,"Southeast","Sierra Madre","CA","California","6037","Los Angeles County",3571,"california/sierra-madre",2.951,-118.05,34.1688,"City",485
10531,10531,10589,10688,10762,10256,-0.00548,"Southwest","Morro Bay","CA","California","6079","San Luis Obispo County",1973,"california/morro-bay",5.338,-120.868,35.3668,"City",486
10509,10509,10391,10274,10065,8866,0.01136,"Southeast","Marina Rey","CA","California","6037","Los Angeles County",12248,"california/marina-rey",0.858,-118.451,33.9764,"CDP",487
10427,10427,10635,10773,11258,10709,-0.01956,"Northwest","Piedmont","CA","California","6001","Alameda County",6134,"california/piedmont",1.7,-122.23,37.8225,"City",488
10402,10402,10484,10565,12362,11541,-0.00782,"Southeast","Lakeland Village","CA","California","6059","Orange County",1186,"california/lakeland-village",8.771,-117.367,33.649,"CDP",489
10263,10263,10252,10241,9752,10109,0.00107,"Southeast","San Diego Country Estates","CA","California","6073","San Diego County",611,"california/san-diego-country-estates",16.784,-116.787,33.0094,"CDP",490
10228,10228,10262,10307,10363,10139,-0.00331,"Northwest","Shasta Lake","CA","California","6089","Shasta County",938,"california/shasta-lake",10.899,-122.381,40.6766,"City",491
10191,10191,10243,10291,10397,10638,-0.00508,"South","Farmersville","CA","California","6107","Tulare County",4503,"california/farmersville",2.263,-119.209,36.3047,"City",492
10190,10190,10145,10023,10008,7374,0.00444,"Northwest","Rio Vista","CA","California","6095","Solano County",1544,"california/rio-vista",6.6,-121.703,38.1767,"City",493
10180,10180,10881,12393,12982,14400,-0.06442,"Southeast","Tehachapi","CA","California","6029","Kern County",993,"california/tehachapi",10.256,-118.446,35.143,"City",494
10166,10166,10206,10254,10324,10349,-0.00392,"South","Exeter","CA","California","6107","Tulare County",4103,"california/exeter",2.478,-119.146,36.2941,"City",495
10161,10161,10277,10330,10625,12629,-0.01129,"Southeast","Malibu","CA","California","6037","Los Angeles County",512,"california/malibu",19.847,-118.76,34.0259,"City",496
10098,10098,9995,9892,10234,8656,0.01031,"Southeast","Golden Hills","CA","California","6029","Kern County",925,"california/golden-hills",10.914,-118.498,35.1364,"CDP",497
10037,10037,10080,10124,10096,10648,-0.00427,"Northwest","Garden Acres","CA","California","6077","San Joaquin County",3884,"california/garden-acres",2.584,-121.23,37.9637,"CDP",498
9952,9952,10020,10089,10405,10912,-0.00679,"Southeast","Quartz Hill","CA","California","6029","Kern County",2645,"california/quartz-hill",3.762,-118.216,34.652,"CDP",499
9899,9899,9847,9794,9990,9163,0.00528,"West","Madera Acres","CA","California","6039","Madera County",1382,"california/madera-acres",7.162,-120.08,37.0127,"CDP",500
9879,9879,9174,8468,9990,0,0.07685,"Southeast","La Cresta","CA","California","6029","Kern County",9445,"california/la-cresta",1.046,-118.989,35.3972,"CDP",501
9872,9872,9789,9707,10141,8720,0.00848,"Southeast","Mentone","CA","California","6071","San Bernardino County",1615,"california/mentone",6.112,-117.115,34.0606,"CDP",502
9859,9859,9947,10016,10209,9278,-0.00885,"Northwest","Corte Madera","CA","California","6041","Marin County",3120,"california/corte-madera",3.16,-122.508,37.9318,"Town",503
9816,9816,10003,10189,9741,12424,-0.01869,"Southeast","Lake Arrowhead","CA","California","6071","San Bernardino County",555,"california/lake-arrowhead",17.678,-117.178,34.254,"CDP",504
9737,9737,9712,9686,9242,9379,0.00257,"Northwest","Country Club","CA","California","6077","San Joaquin County",5079,"california/country-club",1.917,-121.34,37.968,"CDP",505
9547,9547,9443,9366,9131,8479,0.01101,"Northwest","Live Oak","CA","California","6101","Sutter County",3059,"california/live-oak-sutter-county",3.121,-121.662,39.2788,"City",506
9456,9456,9572,9689,9920,9923,-0.01212,"West","Capitola","CA","California","6087","Santa Cruz County",5932,"california/capitola",1.594,-121.954,36.9761,"City",507
9447,9447,9497,9568,9645,9759,-0.00526,"South","Orange Cove","CA","California","6019","Fresno County",5272,"california/orange-cove",1.792,-119.319,36.6211,"City",508
9443,9443,9389,9334,10023,8679,0.00575,"Northwest","Rodeo","CA","California","6013","Contra Costa County",2520,"california/rodeo",3.747,-122.254,38.0366,"CDP",509
9385,9385,9323,9160,9135,8473,0.00665,"West","Waterford","CA","California","6099","Stanislaus County",3980,"california/waterford",2.358,-120.754,37.6427,"City",510
9380,9380,8285,7220,4998,26180,0.13217,"Northwest","Paradise","CA","California","6007","Butte County",512,"california/paradise-butte-county",18.316,-121.606,39.7542,"Town",511
9339,9339,9337,9335,9963,9310,0.00021,"Southeast","Charter Oak","CA","California","6037","Los Angeles County",10064,"california/charter-oak",0.928,-117.856,34.1025,"CDP",512
9206,9206,9147,9089,8046,8390,0.00645,"Northwest","August","CA","California","6077","San Joaquin County",7330,"california/august",1.256,-121.263,37.9796,"CDP",513
9198,9198,9164,9131,9554,8729,0.00371,"Southeast","West Athens","CA","California","6037","Los Angeles County",6880,"california/west-athens",1.337,-118.303,33.9235,"CDP",514
9155,9155,9128,9100,8908,8770,0.00296,"South","Orosi","CA","California","6107","Tulare County",3554,"california/orosi",2.576,-119.291,36.5433,"CDP",515
9096,9096,9215,9335,9351,10770,-0.01291,"Southeast","Crestline","CA","California","6071","San Bernardino County",654,"california/crestline",13.904,-117.287,34.2541,"CDP",516
8987,8987,8977,8967,9573,8845,0.00111,"Southeast","Fort Irwin","CA","California","6071","San Bernardino County",1290,"california/fort-irwin",6.965,-116.683,35.2477,"CDP",517
8972,8972,8990,9007,9713,9216,-0.002,"West","Rio Mar","CA","California","6087","Santa Cruz County",2991,"california/rio-mar",3,-121.885,36.9579,"CDP",518
8901,8901,9073,9245,11444,11310,-0.01896,"Northwest","Magalia","CA","California","6007","Butte County",635,"california/magalia",14.021,-121.608,39.8188,"CDP",519
8855,8855,8809,8764,8408,8220,0.00522,"Southeast","Spring Valley Lake","CA","California","6071","San Bernardino County",2928,"california/spring-valley-lake",3.024,-117.268,34.4968,"CDP",520
8771,8771,8692,8614,7965,7674,0.00909,"Southwest","Templeton","CA","California","6079","San Luis Obispo County",1109,"california/templeton",7.909,-120.718,35.556,"CDP",521
8762,8762,8825,8871,9014,8608,-0.00714,"Northwest","Cloverdale","CA","California","6097","Sonoma County",2605,"california/cloverdale",3.363,-123.015,38.7948,"City",522
8756,8756,8622,8569,8219,7082,0.01554,"Southwest","Guadalupe","CA","California","6083","Santa Barbara County",6684,"california/guadalupe",1.31,-120.573,34.9649,"City",523
8748,8748,8846,8944,9138,8956,-0.01108,"Northwest","Tiburon","CA","California","6041","Marin County",1949,"california/tiburon",4.489,-122.463,37.8868,"Town",524
8709,8709,8505,8301,7687,5853,0.02399,"Northwest","Plumas Lake","CA","California","6115","Yuba County",736,"california/plumas-lake",11.837,-121.558,38.9791,"CDP",525
8693,8693,8547,8475,8109,7570,0.01708,"West","Firebaugh","CA","California","6019","Fresno County",2472,"california/firebaugh",3.517,-120.454,36.8537,"City",526
8636,8636,8433,8229,9031,5786,0.02407,"Northwest","University California-Davis","CA","California","6095","Solano County",5001,"california/university-california-davis",1.727,-121.758,38.5377,"CDP",527
8516,8516,8213,7910,8413,4275,0.03689,"Southeast","Heber","CA","California","6025","Imperial County",5930,"california/heber",1.436,-115.529,32.7325,"CDP",528
8456,8456,8493,8529,8210,8965,-0.00436,"South","Montecito","CA","California","6083","Santa Barbara County",921,"california/montecito",9.183,-119.633,34.4186,"CDP",529
8330,8330,8286,8242,8158,7715,0.00531,"Southeast","Thousand Palms","CA","California","6065","Riverside County",353,"california/thousand-palms",23.62,-116.354,33.815,"CDP",530
8270,8270,8270,8270,6815,8269,0,"West","East Foothills","CA","California","6085","Santa Clara County",3888,"california/east-foothills",2.127,-121.814,37.3826,"CDP",531
8268,8268,8291,8314,8000,8592,-0.00277,"Southeast","Alondra Park","CA","California","6037","Los Angeles County",7482,"california/alondra-park",1.105,-118.336,33.8902,"CDP",532
8223,8223,8327,8428,8637,8154,-0.01249,"Southwest","Gonzales","CA","California","6053","Monterey County",4298,"california/gonzales",1.913,-121.443,36.506,"City",533
8188,8188,8195,8202,8098,8289,-0.00085,"Southeast","Topanga","CA","California","6037","Los Angeles County",428,"california/topanga",19.127,-118.606,34.0968,"CDP",534
8159,8159,8099,8039,7596,7321,0.00741,"West","Interlaken","CA","California","6053","Monterey County",832,"california/interlaken",9.804,-121.738,36.9506,"CDP",535
8147,8147,7565,6983,7713,0,0.07693,"Southwest","California Polytechnic State University","CA","California","6079","San Luis Obispo County",5297,"california/california-polytechnic-state-university",1.538,-120.667,35.307,"CDP",536
8141,8141,8216,8291,8431,9192,-0.00913,"Southeast","Good Hope","CA","California","6065","Riverside County",725,"california/good-hope",11.225,-117.277,33.7706,"CDP",537
8089,8089,8189,8205,8489,8084,-0.01221,"West","Los Altos Hills","CA","California","6085","Santa Clara County",892,"california/los-altos-hills",9.067,-122.139,37.3668,"Town",538
8067,8067,8132,8202,8327,7405,-0.00799,"Northwest","Orland","CA","California","6021","Glenn County",2691,"california/orland",2.998,-122.186,39.7461,"City",539
8031,8031,7458,6884,6667,0,0.07683,"Northwest","Contra Costa Centre","CA","California","6013","Contra Costa County",12608,"california/contra-costa-centre",0.637,-122.054,37.926,"CDP",540
8019,8019,8069,8140,8217,7671,-0.0062,"Northwest","Corning","CA","California","6103","Tehama County",2261,"california/corning",3.547,-122.182,39.9282,"City",541
7965,7965,7846,7764,7487,7295,0.01517,"South","Woodlake","CA","California","6107","Tulare County",2796,"california/woodlake",2.849,-119.101,36.4128,"City",542
7956,7956,7994,8032,8681,8485,-0.00475,"Southeast","Midway City","CA","California","6059","Orange County",13064,"california/midway-city",0.609,-117.985,33.7451,"CDP",543
7956,7956,8033,8089,8263,8066,-0.00959,"Southeast","Rolling Hills Estates","CA","California","6037","Los Angeles County",2224,"california/rolling-hills-estates",3.577,-118.327,33.7784,"City",544
7910,7910,7910,7910,7930,7912,0,"Northwest","Gold River","CA","California","6067","Sacramento County",2976,"california/gold-river",2.658,-121.249,38.6269,"CDP",545
7909,7909,7948,8006,8063,7660,-0.00491,"Southwest","Pismo Beach","CA","California","6079","San Luis Obispo County",2262,"california/pismo-beach",3.497,-120.674,35.1532,"City",546
7867,7867,7760,7652,8026,6362,0.01379,"Southeast","Cherry Valley","CA","California","6065","Riverside County",982,"california/cherry-valley",8.011,-116.969,33.9796,"CDP",547
7860,7860,7694,7646,7195,6621,0.02158,"Northwest","Winters","CA","California","6113","Yolo County",2678,"california/winters",2.935,-121.975,38.5333,"City",548
